DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Premis Desc,Weapon Desc,Status Desc,Crm Cd 1,LOCATION,Cross Street,LAT,LON
01/01/2020 12:00:00 AM,1940,1,Central,624,BATTERY - SIMPLE ASSAULT,46,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,624.0,LOS ANGELES                  ST,2ND                          ST,34.0485,-118.2447
01/01/2020 12:00:00 AM,1800,1,Central,624,BATTERY - SIMPLE ASSAULT,56,F,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,624.0,600 S  SPRING                       ST,,34.0467,-118.252
01/01/2020 12:00:00 AM,2030,1,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",55,F,PARKING LOT,,Invest Cont,341.0,600 W  9TH                          ST,,34.0462,-118.2585
01/01/2020 12:00:00 AM,1830,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,745.0,300 E  ANN                          ST,,34.0639,-118.2306
01/01/2020 12:00:00 AM,2000,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),67,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,440.0,400 E  7TH                          ST,,34.0421,-118.2469
01/01/2020 12:00:00 AM,300,1,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",57,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,341.0,300 W  5TH                          ST,,34.0481,-118.2507
01/01/2020 12:00:00 AM,2030,1,Central,330,BURGLARY FROM VEHICLE,37,F,STREET,,Invest Cont,330.0,1800 S  MAIN                         ST,,34.0317,-118.2641
01/02/2020 12:00:00 AM,1225,1,Central,624,BATTERY - SIMPLE ASSAULT,60,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,624.0,7TH,SPRING,34.0449,-118.2528
01/01/2020 12:00:00 AM,1200,1,Central,310,BURGLARY,51,M,GARAGE/CARPORT,,Invest Cont,310.0,700    ALPINE                       ST,,34.0635,-118.2426
12/07/2020 12:00:00 AM,1203,9,Van Nuys,900,VIOLATION OF COURT ORDER,52,F,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,Adult Arrest,900.0,6200    SYLMAR                       AV,,34.1837,-118.4465
01/02/2020 12:00:00 AM,1240,1,Central,210,ROBBERY,61,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",HAND GUN,Adult Other,210.0,100 E  5TH                          ST,,34.0467,-118.2485
01/02/2020 12:00:00 AM,800,1,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,38,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,626.0,100 S  FIGUEROA                     ST,,34.0569,-118.254
01/02/2020 12:00:00 AM,1600,1,Central,624,BATTERY - SIMPLE ASSAULT,36,F,OTHER BUSINESS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,624.0,800 E  4TH                          PL,,34.0445,-118.2367
01/02/2020 12:00:00 AM,1450,1,Central,310,BURGLARY,59,M,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,,Invest Cont,310.0,1200 E  7TH                          ST,,34.0395,-118.2405
01/02/2020 12:00:00 AM,1215,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),32,M,OTHER STORE,,Invest Cont,442.0,700 S  FLOWER                       ST,,34.0487,-118.2588
01/02/2020 12:00:00 AM,1130,1,Central,888,TRESPASSING,44,F,PARKING UNDERGROUND/BUILDING,,Invest Cont,888.0,300 E  3RD                          ST,,34.048,-118.2438
01/02/2020 12:00:00 AM,320,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",60,F,STREET,PHYSICAL PRESENCE,Invest Cont,230.0,1ST,MAIN,34.0522,-118.2434
10/18/2020 12:00:00 AM,528,1,Central,860,BATTERY WITH SEXUAL CONTACT,24,F,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,860.0,900 W  TEMPLE                       ST,,34.0607,-118.2494
01/02/2020 12:00:00 AM,1915,1,Central,330,BURGLARY FROM VEHICLE,31,M,PARKING LOT,,Invest Cont,330.0,1200 S  GRAND                        AV,,34.0402,-118.2633
01/02/2020 12:00:00 AM,2000,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),30,M,STREET,,Invest Cont,440.0,300 S  GRAND                        AV,,34.053,-118.2513
01/02/2020 12:00:00 AM,2000,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,STREET,VEHICLE,Adult Arrest,230.0,600 S  CENTRAL                      AV,,34.039,-118.24
08/10/2020 12:00:00 AM,125,18,Southeast,626,INTIMATE PARTNER - SIMPLE ASSAULT,50,F,MOTEL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,626.0,10300 S  BROADWAY,,33.9425,-118.2781
01/02/2020 12:00:00 AM,1740,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,OTHER BUSINESS,SCISSORS,Invest Cont,230.0,600 N  BROADWAY,,34.0586,-118.2402
01/02/2020 12:00:00 AM,2210,1,Central,888,TRESPASSING,34,M,RESTAURANT/FAST FOOD,,Invest Cont,888.0,800 W  7TH                          ST,,34.0487,-118.2588
01/02/2020 12:00:00 AM,2145,1,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,HOSPITAL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,626.0,1300 S  HOPE                         ST,,34.0395,-118.2656
01/02/2020 12:00:00 AM,2120,1,Central,624,BATTERY - SIMPLE ASSAULT,45,M,OTHER BUSINESS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,624.0,700 S  FLOWER                       ST,,34.0487,-118.2588
01/02/2020 12:00:00 AM,2200,1,Central,624,BATTERY - SIMPLE ASSAULT,62,M,SIDEWALK,STICK,Invest Cont,624.0,7TH                          ST,KOHLER,34.0377,-118.2425
01/01/2020 12:00:00 AM,1845,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),20,F,DEPARTMENT STORE,,Invest Cont,442.0,700 W  7TH                          ST,,34.048,-118.2577
12/02/2020 12:00:00 AM,1040,14,Pacific,354,THEFT OF IDENTITY,31,F,SINGLE FAMILY DWELLING,,Invest Cont,354.0,13100    LAKE                         ST,,34.0081,-118.4512
07/24/2020 12:00:00 AM,100,13,Newton,121,"RAPE, FORCIBLE",15,F,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,121.0,300 W  61ST                         ST,,33.9842,-118.2789
01/01/2020 12:00:00 AM,130,1,Central,330,BURGLARY FROM VEHICLE,51,M,STREET,,Invest Cont,330.0,3RD,GRAND,34.053,-118.2513
01/02/2020 12:00:00 AM,1115,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),23,M,STREET,,Invest Cont,440.0,6TH,MAIN,34.0446,-118.249
01/03/2020 12:00:00 AM,1315,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),29,M,STREET,,Invest Cont,440.0,1ST,LOS ANGELES,34.0515,-118.2424
01/03/2020 12:00:00 AM,1015,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),58,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Adult Other,745.0,1600 S  HOPE                         ST,,34.0363,-118.2677
01/03/2020 12:00:00 AM,1830,1,Central,624,BATTERY - SIMPLE ASSAULT,24,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,624.0,600 W  7TH                          ST,,34.0491,-118.2558
01/03/2020 12:00:00 AM,1200,1,Central,761,BRANDISH WEAPON,51,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",MACHETE,Invest Cont,761.0,600 S  SAN PEDRO                    ST,,34.0421,-118.2469
01/03/2020 12:00:00 AM,1550,1,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",41,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Adult Arrest,740.0,100 W  2ND                          ST,,34.051,-118.2445
01/03/2020 12:00:00 AM,1839,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),32,M,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,745.0,100 E  5TH                          ST,,34.0467,-118.2485
01/03/2020 12:00:00 AM,1800,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,OTHER STORE,,Invest Cont,442.0,700 W  7TH                          ST,,34.048,-118.2577
01/03/2020 12:00:00 AM,1800,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),35,M,OTHER STORE,,Invest Cont,442.0,700 W  7TH                          ST,,34.048,-118.2577
01/03/2020 12:00:00 AM,1850,1,Central,210,ROBBERY,28,M,STREET,HAND GUN,Invest Cont,210.0,4TH,SEATON,34.0433,-118.2377
01/03/2020 12:00:00 AM,2220,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",58,M,STREET,FOLDING KNIFE,Invest Cont,230.0,5TH,CROCKER,34.0435,-118.2427
01/03/2020 12:00:00 AM,1645,1,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",57,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,341.0,100 E  5TH                          ST,,34.0471,-118.2474
01/03/2020 12:00:00 AM,2100,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),27,F,RESTAURANT/FAST FOOD,,Invest Cont,440.0,100 W  2ND                          ST,,34.051,-118.2445
01/03/2020 12:00:00 AM,2200,1,Central,330,BURGLARY FROM VEHICLE,30,F,STREET,,Invest Cont,330.0,PALMETTO,E  SANTA FE,34.0403,-118.2308
01/03/2020 12:00:00 AM,1630,1,Central,330,BURGLARY FROM VEHICLE,30,M,STREET,,Invest Cont,330.0,800    JAMES M WOOD                 BL,,34.0483,-118.2631
